from,to,symbol,quantity,date
utopis,sevenoh-fiveoh,HIVE,0.092,2021-02-22
utopis,lordneroo,HIVE,0.556,2021-02-22
utopis,enginewitty,HIVE,9.238,2021-02-22
utopis,revisesociology,HIVE,1.109,2021-02-22
utopis,amr008,HIVE,0.277,2021-02-22
utopis,honeysaver,HIVE,2.402,2021-02-22
utopis,branbello,HIVE,0.092,2021-02-22
utopis,abrockman,HIVE,27.252,2021-02-22
utopis,mfblack,HIVE,25.035,2021-02-22
utopis,roleerob,HIVE,32.333,2021-02-22
utopis,khan.dayyanz,HIVE,13.857,2021-02-22
utopis,trayan,HIVE,0.193,2021-02-22
utopis,leontr,HIVE,0.37,2021-02-22
utopis,bozz,HIVE,4.157,2021-02-22
utopis,tomhall,HIVE,0.777,2021-02-22
utopis,poetchick4jesus,HIVE,0.011,2021-02-22
utopis,moonthumb,HIVE,0.105,2021-02-22
utopis,velourex,HIVE,0.924,2021-02-22
utopis,melinda010100,HIVE,1.109,2021-02-22
utopis,kolbjorn,HIVE,55.428,2021-02-22
utopis,shroomifer,HIVE,0.739,2021-02-22
utopis,simplifylife,HIVE,10.162,2021-02-22
utopis,diana.catherine,HIVE,3.907,2021-02-22
utopis,teenagecrypto,HIVE,0.416,2021-02-22
utopis,simplegame,HIVE,4.988,2021-02-22
utopis,athomewithcraig,HIVE,0.088,2021-02-22
utopis,aiovo,HIVE,0.092,2021-02-22
utopis,largeadultson,HIVE,0.701,2021-02-22
utopis,hatoto,HIVE,0.067,2021-03-01
utopis,kiokizz,HIVE,0.671,2021-03-01
utopis,trumpman,HIVE,19.361,2021-03-01
utopis,pixresteemer,HIVE,0.201,2021-03-01
utopis,miketr,HIVE,4.899,2021-03-01
utopis,investinthefutur,HIVE,3.775,2021-03-01
utopis,investyourvote,HIVE,0.403,2021-03-01
utopis,dkid14,HIVE,3.355,2021-03-01
utopis,skylinebuds,HIVE,3.087,2021-03-01
utopis,evernoticethat,HIVE,1.342,2021-03-01
utopis,vipservice,HIVE,64.425,2021-03-01
utopis,shmoogleosukami,HIVE,0.963,2021-03-01
utopis,damla,HIVE,0.671,2021-03-01
utopis,berthold,HIVE,0.94,2021-03-01
utopis,eirik,HIVE,7.79,2021-03-01
utopis,abrockman,HIVE,23.488,2021-03-01
utopis,no-advice,HIVE,11.744,2021-03-01
utopis,drax,HIVE,0.084,2021-03-01
utopis,brofundholdings,HIVE,258.841,2021-03-01
utopis,discohedge,HIVE,83.887,2021-03-01
utopis,shoemanchu,HIVE,5.637,2021-03-01
utopis,votebetting,HIVE,16.039,2021-03-01
utopis,netaterra,HIVE,225.112,2021-03-01
utopis,spinvest,HIVE,268.438,2021-03-01
utopis,denver-bob,HIVE,33.555,2021-03-01
utopis,jongolson,HIVE,21.811,2021-03-01
utopis,khan.dayyanz,HIVE,15.1,2021-03-01
utopis,honeysaver,HIVE,3.691,2021-03-01
utopis,amr008,HIVE,1.495,2021-03-01
utopis,jjb777,HIVE,53.102,2021-03-01
utopis,knowhow92,HIVE,14.549,2021-03-01
utopis,chireerocks,HIVE,11.356,2021-03-01
utopis,jonsnow1983,HIVE,1.185,2021-03-01
utopis,dera123,HIVE,27.459,2021-03-01
utopis,notaboutme,HIVE,1.007,2021-03-01
utopis,wxmark,HIVE,1.946,2021-03-01
utopis,beerlotto,HIVE,0.134,2021-03-01
utopis,voinvote.token,HIVE,0.201,2021-03-01
utopis,offgridlife,HIVE,0.067,2021-03-01
utopis,anderssinho,HIVE,0.067,2021-03-01
utopis,matheusggr,HIVE,0.067,2021-03-01
utopis,trumpikas,HIVE,2.684,2021-03-01
utopis,partitura,HIVE,36.239,2021-03-01
utopis,gadrian,HIVE,1.007,2021-03-01
utopis,mpath,HIVE,0.134,2021-03-01
utopis,summertooth,HIVE,1.208,2021-03-01
utopis,sayee,HIVE,0.738,2021-03-01
utopis,imfarhad,HIVE,0.336,2021-03-01
utopis,drax.leo,HIVE,0.009,2021-03-01
utopis,kingneptune,HIVE,4.027,2021-03-01
utopis,myfreebtc,HIVE,0.067,2021-03-01
utopis,bearbear613,HIVE,13.623,2021-03-01
utopis,cwow2,HIVE,11.765,2021-03-01
utopis,meesterboom,HIVE,6.711,2021-03-01
utopis,rahul.stan,HIVE,1.353,2021-03-01
utopis,glastar,HIVE,6.711,2021-03-01
utopis,mapac,HIVE,1.342,2021-03-01
utopis,jlsplatts,HIVE,5.704,2021-03-01
utopis,bitcoinflood,HIVE,0.352,2021-03-01
utopis,okean123,HIVE,1.342,2021-03-01
utopis,nobutsd1974,HIVE,0.027,2021-03-01
utopis,ph1102,HIVE,3.355,2021-03-01
utopis,cryptofiloz,HIVE,0.813,2021-03-01
utopis,jackofcrows,HIVE,1.141,2021-03-01
utopis,dylanhobalart,HIVE,1.67,2021-03-01
utopis,arrliinn,HIVE,0.57,2021-03-01
utopis,maarnio,HIVE,0.671,2021-03-01
utopis,theroad2freedom,HIVE,0.671,2021-03-01
utopis,thelogicaldude,HIVE,0.671,2021-03-01
utopis,hive-id,HIVE,0.087,2021-03-01
utopis,lotto-de,HIVE,0.268,2021-03-01
utopis,dudeontheweb,HIVE,0.383,2021-03-01
utopis,victor-alexander,HIVE,0.118,2021-03-01
utopis,jaquevital,HIVE,0.672,2021-03-01
utopis,xabi,HIVE,9.898,2021-03-01
utopis,rickardoh,HIVE,0.336,2021-03-01
utopis,juanvegetarian,HIVE,0.671,2021-03-01
utopis,elianaicgomes,HIVE,0.671,2021-03-01
utopis,enforcer48,HIVE,0.336,2021-03-01
utopis,bhattg,HIVE,6.443,2021-03-01
utopis,espandor,HIVE,1.256,2021-03-01
utopis,funnel,HIVE,1.342,2021-03-01
utopis,themarkymark,HIVE,63.155,2021-03-01
utopis,jemmarti,HIVE,1.342,2021-03-01
utopis,coyotelation,HIVE,10.066,2021-03-01
utopis,elbrava,HIVE,0.336,2021-03-01
utopis,velourex,HIVE,0.671,2021-03-01
utopis,moonthumb,HIVE,0.134,2021-03-01
utopis,poetchick4jesus,HIVE,0.012,2021-03-01
utopis,tomhall,HIVE,1.207,2021-03-01
utopis,bozz,HIVE,4.698,2021-03-01
utopis,kolbjorn,HIVE,45.903,2021-03-01
utopis,athomewithcraig,HIVE,0.087,2021-03-01
utopis,stayoutoftherz,HIVE,3.02,2021-03-01
utopis,branbello,HIVE,0.067,2021-03-01
utopis,myvest,HIVE,45.634,2021-03-01
utopis,nickyhavey,HIVE,3.355,2021-03-01
utopis,blockmonster,HIVE,2.684,2021-03-01
utopis,gillianpearce,HIVE,1.342,2021-03-01
utopis,jfang003,HIVE,0.201,2021-03-01
utopis,ericburgoyne,HIVE,0.805,2021-03-01
utopis,silverstackeruk,HIVE,30.199,2021-03-01
utopis,taskmaster4450,HIVE,26.911,2021-03-01
utopis,thegoliath,HIVE,3.221,2021-03-01
utopis,a1-shroom-spores,HIVE,0.134,2021-03-01
utopis,ecoinstant,HIVE,11.878,2021-03-01
utopis,hykss,HIVE,67.109,2021-03-01
utopis,melinda010100,HIVE,2.828,2021-03-01
utopis,aiovo,HIVE,0.067,2021-03-01
utopis,shroomifer,HIVE,5.906,2021-03-01
utopis,simplifylife,HIVE,7.382,2021-03-01
utopis,monsterbuster,HIVE,0.201,2021-03-01
utopis,melbourneswest,HIVE,2.753,2021-03-01
utopis,numanbutt,HIVE,0.336,2021-03-01
utopis,taskmanager,HIVE,23.488,2021-03-01
utopis,revisesociology,HIVE,3.691,2021-03-01
utopis,enginewitty,HIVE,16.777,2021-03-01
utopis,lordneroo,HIVE,0.544,2021-03-01
utopis,sevenoh-fiveoh,HIVE,0.067,2021-03-01
utopis,scooter77,HIVE,1.476,2021-03-01
utopis,pieternijmeijer,HIVE,2.013,2021-03-01
utopis,cryptoandcoffee,HIVE,1.342,2021-03-01
utopis,bitandi,HIVE,0.336,2021-03-01
utopis,cornavirus,HIVE,2.08,2021-03-01
utopis,libertycrypto27,HIVE,0.336,2021-03-01
utopis,mfblack,HIVE,20.133,2021-03-01
utopis,roleerob,HIVE,23.488,2021-03-01
utopis,leontr,HIVE,0.604,2021-03-01
utopis,trayan,HIVE,0.14,2021-03-01
utopis,largeadultson,HIVE,0.516,2021-03-01
utopis,simplegame,HIVE,3.624,2021-03-01
utopis,teenagecrypto,HIVE,0.405,2021-03-01
utopis,diana.catherine,HIVE,2.971,2021-03-01
utopis,juanmiguelsalas,HIVE,6.711,2021-03-01
utopis,road2nowhere,HIVE,0.694,2021-03-01
