from,to,symbol,quantity,date
spi-payments,chronocrypto,HIVE,1.35,2020-10-13
spi-payments,taskmaster4450,HIVE,1.317,2020-10-13
spi-payments,silverstackeruk,HIVE,1.197,2020-10-13
spi-payments,shanibeer,HIVE,1.197,2020-10-13
spi-payments,invest4free,HIVE,0.01,2020-10-13
spi-payments,underground,HIVE,0.718,2020-10-13
spi-payments,felander,HIVE,0.599,2020-10-13
spi-payments,jznsamuel,HIVE,0.479,2020-10-13
spi-payments,discohedge,HIVE,0.287,2020-10-13
spi-payments,knowhow92,HIVE,0.239,2020-10-13
spi-payments,metzli,HIVE,0.239,2020-10-13
spi-payments,oscarps,HIVE,0.239,2020-10-13
spi-payments,theb0red1,HIVE,0.239,2020-10-13
spi-payments,chrisparis,HIVE,0.838,2020-10-13
spi-payments,gattino,HIVE,0.134,2020-10-13
spi-payments,coronadino,HIVE,0.144,2020-10-13
spi-payments,a1-shroom-spores,HIVE,0.014,2020-10-13
spi-payments,ykretz,HIVE,0.017,2020-10-13
spi-payments,sevenoh-fiveoh,HIVE,0.024,2020-10-13
spi-payments,wongbraling,HIVE,0.024,2020-10-13
spi-payments,eirik,HIVE,0.024,2020-10-13
spi-payments,cwow2,HIVE,0.024,2020-10-13
spi-payments,dadapizza,HIVE,0.038,2020-10-13
spi-payments,cmplxty,HIVE,0.12,2020-10-13
spi-payments,dkid14,HIVE,0.067,2020-10-13
spi-payments,lammbock,HIVE,0.072,2020-10-13
spi-payments,bold-n-italics,HIVE,0.029,2020-10-13
spi-payments,spirall,HIVE,0.072,2020-10-13
spi-payments,edthecanadian,HIVE,0.101,2020-10-13
spi-payments,flemingfarm,HIVE,0.479,2020-10-15
spi-payments,ericburgoyne,HIVE,0.542,2020-10-15
spi-payments,eirik,HIVE,0.02,2020-10-19
spi-payments,cmplxty,HIVE,0.12,2020-10-19
spi-payments,edthecanadian,HIVE,0.1,2020-10-19
spi-payments,spirall,HIVE,0.07,2020-10-19
spi-payments,lammbock,HIVE,0.07,2020-10-19
spi-payments,dkid14,HIVE,0.06,2020-10-19
spi-payments,bold-n-italics,HIVE,0.03,2020-10-19
spi-payments,wongbraling,HIVE,0.02,2020-10-19
spi-payments,flemingfarm,HIVE,0.46,2020-10-19
spi-payments,cwow2,HIVE,0.02,2020-10-19
spi-payments,ykretz,HIVE,0.02,2020-10-19
spi-payments,a1-shroom-spores,HIVE,0.02,2020-10-19
spi-payments,xyzashu,HIVE,0.01,2020-10-19
spi-payments,scooter77,HIVE,0.01,2020-10-19
spi-payments,invest4free,HIVE,0.01,2020-10-19
spi-payments,dadapizza,HIVE,0.12,2020-10-19
spi-payments,sevenoh-fiveoh,HIVE,0.02,2020-10-19
spi-payments,gattino,HIVE,0.13,2020-10-19
spi-payments,oscarps,HIVE,0.23,2020-10-19
spi-payments,theb0red1,HIVE,0.23,2020-10-19
spi-payments,coronadino,HIVE,0.14,2020-10-19
spi-payments,roleerob,HIVE,0.001,2020-10-19
spi-payments,brofund,HIVE,0.001,2020-10-19
spi-payments,chronocrypto,HIVE,1.3,2020-10-19
spi-payments,taskmaster4450,HIVE,1.27,2020-10-19
spi-payments,silverstackeruk,HIVE,1.15,2020-10-19
spi-payments,shanibeer,HIVE,1.15,2020-10-19
spi-payments,chrisparis,HIVE,0.81,2020-10-19
spi-payments,brofund,HIVE,3.46,2020-10-19
spi-payments,felander,HIVE,0.58,2020-10-19
spi-payments,ericburgoyne,HIVE,0.57,2020-10-19
spi-payments,jznsamuel,HIVE,0.57,2020-10-19
spi-payments,ecoinstant,HIVE,0.46,2020-10-19
spi-payments,discohedge,HIVE,0.28,2020-10-19
spi-payments,knowhow92,HIVE,0.23,2020-10-19
spi-payments,metzli,HIVE,0.23,2020-10-19
spi-payments,underground,HIVE,0.69,2020-10-19
spi-payments,jznsamuel,HIVE,0.48,2020-10-26
spi-payments,flemingfarm,HIVE,0.48,2020-10-26
spi-payments,discohedge,HIVE,0.6,2020-10-26
spi-payments,felander,HIVE,0.61,2020-10-26
spi-payments,ericburgoyne,HIVE,0.65,2020-10-26
