from,to,symbol,date,quantity
utopis,honeysaver,HIVE,2021-02-22,2.402
utopis,shoemanchu,HIVE,2021-02-22,7.76
utopis,kolbjorn,HIVE,2021-02-22,55.428
utopis,spinvest,HIVE,2021-02-22,369.517
utopis,investinthefutur,HIVE,2021-02-22,4.157
utopis,pixresteemer,HIVE,2021-02-22,0.277
utopis,investyourvote,HIVE,2021-02-22,0.37
utopis,skylinebuds,HIVE,2021-02-22,3.234
utopis,jemmarti,HIVE,2021-02-22,1.848
utopis,jfang003,HIVE,2021-02-22,0.185
utopis,jjb777,HIVE,2021-02-22,60.534
utopis,largeadultson,HIVE,2021-02-22,0.701
utopis,simplifylife,HIVE,2021-02-22,10.162
utopis,jonsnow1983,HIVE,2021-02-22,1.631
utopis,simplegame,HIVE,2021-02-22,4.988
utopis,juanmiguelsalas,HIVE,2021-02-22,9.238
utopis,khan.dayyanz,HIVE,2021-02-22,13.857
utopis,silverstackeruk,HIVE,2021-02-22,41.571
utopis,kiokizz,HIVE,2021-02-22,0.924
utopis,knowhow92,HIVE,2021-02-22,10.023
utopis,shroomifer,HIVE,2021-02-22,0.739
utopis,jongolson,HIVE,2021-02-22,23.095
utopis,leontr,HIVE,2021-02-22,0.37
utopis,a1-shroom-spores,HIVE,2021-02-22,0.092
utopis,amr008,HIVE,2021-02-22,0.277
utopis,abrockman,HIVE,2021-02-22,27.252
utopis,aiovo,HIVE,2021-02-22,0.092
utopis,athomewithcraig,HIVE,2021-02-22,0.088
utopis,cornavirus,HIVE,2021-03-01,2.08
utopis,sevenoh-fiveoh,HIVE,2021-03-01,0.067
utopis,jlsplatts,HIVE,2021-03-01,5.704
utopis,scooter77,HIVE,2021-03-01,1.476
utopis,sayee,HIVE,2021-03-01,0.738
utopis,jongolson,HIVE,2021-03-01,21.811
utopis,amr008,HIVE,2021-03-01,1.495
utopis,jackofcrows,HIVE,2021-03-01,1.141
utopis,roleerob,HIVE,2021-03-01,23.488
utopis,jonsnow1983,HIVE,2021-03-01,1.185
utopis,blockmonster,HIVE,2021-03-01,2.684
utopis,juanmiguelsalas,HIVE,2021-03-01,6.711
utopis,juanvegetarian,HIVE,2021-03-01,0.671
utopis,road2nowhere,HIVE,2021-03-01,0.694
utopis,rickardoh,HIVE,2021-03-01,0.336
utopis,jjb777,HIVE,2021-03-01,53.102
utopis,jfang003,HIVE,2021-03-01,0.201
utopis,shmoogleosukami,HIVE,2021-03-01,0.963
utopis,shoemanchu,HIVE,2021-03-01,5.637
utopis,cryptofiloz,HIVE,2021-03-01,0.813
utopis,spinvest,HIVE,2021-03-01,268.438
utopis,honeysaver,HIVE,2021-03-01,3.691
utopis,hykss,HIVE,2021-03-01,67.109
utopis,skylinebuds,HIVE,2021-03-01,3.087
utopis,imfarhad,HIVE,2021-03-01,0.336
utopis,bitandi,HIVE,2021-03-01,0.336
utopis,investinthefutur,HIVE,2021-03-01,3.775
utopis,revisesociology,HIVE,2021-03-01,3.691
utopis,simplifylife,HIVE,2021-03-01,7.382
utopis,cryptoandcoffee,HIVE,2021-03-01,1.342
utopis,simplegame,HIVE,2021-03-01,3.624
utopis,silverstackeruk,HIVE,2021-03-01,30.199
utopis,coyotelation,HIVE,2021-03-01,10.066
utopis,shroomifer,HIVE,2021-03-01,5.906
utopis,bitcoinflood,HIVE,2021-03-01,0.352
utopis,jaquevital,HIVE,2021-03-01,0.672
utopis,jemmarti,HIVE,2021-03-01,1.342
utopis,investyourvote,HIVE,2021-03-01,0.403
utopis,khan.dayyanz,HIVE,2021-03-01,15.1
utopis,rahul.stan,HIVE,2021-03-01,1.353
utopis,kingneptune,HIVE,2021-03-01,4.027
utopis,mapac,HIVE,2021-03-01,1.342
utopis,no-advice,HIVE,2021-03-01,11.744
utopis,matheusggr,HIVE,2021-03-01,0.067
utopis,meesterboom,HIVE,2021-03-01,6.711
utopis,nickyhavey,HIVE,2021-03-01,3.355
utopis,brofundholdings,HIVE,2021-03-01,258.841
utopis,melbourneswest,HIVE,2021-03-01,2.753
utopis,branbello,HIVE,2021-03-01,0.067
utopis,netaterra,HIVE,2021-03-01,225.112
utopis,aiovo,HIVE,2021-03-01,0.067
utopis,melinda010100,HIVE,2021-03-01,2.828
utopis,myvest,HIVE,2021-03-01,45.634
utopis,myfreebtc,HIVE,2021-03-01,0.067
utopis,mfblack,HIVE,2021-03-01,20.133
utopis,mpath,HIVE,2021-03-01,0.134
utopis,miketr,HIVE,2021-03-01,4.899
utopis,moonthumb,HIVE,2021-03-01,0.134
utopis,nobutsd1974,HIVE,2021-03-01,0.027
utopis,hive-id,HIVE,2021-03-01,0.087
utopis,notaboutme,HIVE,2021-03-01,1.007
utopis,bozz,HIVE,2021-03-01,4.698
utopis,chireerocks,HIVE,2021-03-01,11.356
utopis,poetchick4jesus,HIVE,2021-03-01,0.012
utopis,kiokizz,HIVE,2021-03-01,0.671
utopis,pixresteemer,HIVE,2021-03-01,0.201
utopis,knowhow92,HIVE,2021-03-01,14.549
utopis,kolbjorn,HIVE,2021-03-01,45.903
utopis,pieternijmeijer,HIVE,2021-03-01,2.013
utopis,largeadultson,HIVE,2021-03-01,0.516
utopis,ph1102,HIVE,2021-03-01,3.355
utopis,leontr,HIVE,2021-03-01,0.604
utopis,partitura,HIVE,2021-03-01,36.239
utopis,libertycrypto27,HIVE,2021-03-01,0.336
utopis,lordneroo,HIVE,2021-03-01,0.544
utopis,okean123,HIVE,2021-03-01,1.342
utopis,lotto-de,HIVE,2021-03-01,0.268
utopis,offgridlife,HIVE,2021-03-01,0.067
utopis,maarnio,HIVE,2021-03-01,0.671
utopis,numanbutt,HIVE,2021-03-01,0.336
utopis,stayoutoftherz,HIVE,2021-03-01,3.02
utopis,monsterbuster,HIVE,2021-03-01,0.201
utopis,vipservice,HIVE,2021-03-01,64.425
utopis,velourex,HIVE,2021-03-01,0.671
utopis,tomhall,HIVE,2021-03-01,1.207
utopis,abrockman,HIVE,2021-03-01,23.488
utopis,thegoliath,HIVE,2021-03-01,3.221
utopis,voinvote.token,HIVE,2021-03-01,0.201
utopis,drax,HIVE,2021-03-01,0.084
utopis,thelogicaldude,HIVE,2021-03-01,0.671
utopis,enforcer48,HIVE,2021-03-01,0.336
utopis,hatoto,HIVE,2021-03-01,0.067
utopis,elbrava,HIVE,2021-03-01,0.336
utopis,evernoticethat,HIVE,2021-03-01,1.342
utopis,teenagecrypto,HIVE,2021-03-01,0.405
utopis,drax.leo,HIVE,2021-03-01,0.009
utopis,dudeontheweb,HIVE,2021-03-01,0.383
utopis,espandor,HIVE,2021-03-01,1.256
utopis,victor-alexander,HIVE,2021-03-01,0.118
utopis,enginewitty,HIVE,2021-03-01,16.777
utopis,berthold,HIVE,2021-03-01,0.94
utopis,ecoinstant,HIVE,2021-03-01,11.878
utopis,athomewithcraig,HIVE,2021-03-01,0.087
utopis,theroad2freedom,HIVE,2021-03-01,0.671
utopis,dylanhobalart,HIVE,2021-03-01,1.67
utopis,ericburgoyne,HIVE,2021-03-01,0.805
utopis,damla,HIVE,2021-03-01,0.671
utopis,themarkymark,HIVE,2021-03-01,63.155
utopis,dkid14,HIVE,2021-03-01,3.355
utopis,funnel,HIVE,2021-03-01,1.342
utopis,bhattg,HIVE,2021-03-01,6.443
utopis,anderssinho,HIVE,2021-03-01,0.067
utopis,denver-bob,HIVE,2021-03-01,33.555
utopis,bearbear613,HIVE,2021-03-01,13.623
utopis,trumpikas,HIVE,2021-03-01,2.684
utopis,summertooth,HIVE,2021-03-01,1.208
utopis,cwow2,HIVE,2021-03-01,11.765
utopis,arrliinn,HIVE,2021-03-01,0.57
utopis,dera123,HIVE,2021-03-01,27.459
utopis,glastar,HIVE,2021-03-01,6.711
utopis,xabi,HIVE,2021-03-01,9.898
utopis,eirik,HIVE,2021-03-01,7.79
utopis,taskmanager,HIVE,2021-03-01,23.488
utopis,wxmark,HIVE,2021-03-01,1.946
utopis,trayan,HIVE,2021-03-01,0.14
utopis,a1-shroom-spores,HIVE,2021-03-01,0.134
utopis,trumpman,HIVE,2021-03-01,19.361
utopis,gadrian,HIVE,2021-03-01,1.007
utopis,elianaicgomes,HIVE,2021-03-01,0.671
utopis,votebetting,HIVE,2021-03-01,16.039
utopis,gillianpearce,HIVE,2021-03-01,1.342
utopis,beerlotto,HIVE,2021-03-01,0.134
utopis,discohedge,HIVE,2021-03-01,83.887
utopis,taskmaster4450,HIVE,2021-03-01,26.911
utopis,diana.catherine,HIVE,2021-03-01,2.971
utopis,libertycrypto27,HIVE,2021-03-08,0.227
utopis,ecoinstant,HIVE,2021-03-08,8.043
utopis,daniky,HIVE,2021-03-08,0.008
utopis,dylanhobalart,HIVE,2021-03-08,1.318
utopis,leontr,HIVE,2021-03-08,0.409
utopis,largeadultson,HIVE,2021-03-08,0.35
utopis,cervisia,HIVE,2021-03-08,3.635
utopis,hatoto,HIVE,2021-03-08,0.045
utopis,lotto-de,HIVE,2021-03-08,0.227
utopis,miketr,HIVE,2021-03-08,3.635
utopis,denver-bob,HIVE,2021-03-08,22.719
utopis,mfblack,HIVE,2021-03-08,15.581
utopis,melinda010100,HIVE,2021-03-08,1.915
utopis,dera123,HIVE,2021-03-08,19.158
utopis,aiovo,HIVE,2021-03-08,0.189
utopis,melbourneswest,HIVE,2021-03-08,2.118
utopis,discohedge,HIVE,2021-03-08,59.888
utopis,lordneroo,HIVE,2021-03-08,0.369
utopis,dkid14,HIVE,2021-03-08,2.272
utopis,meesterboom,HIVE,2021-03-08,4.544
utopis,matheusggr,HIVE,2021-03-08,0.045
utopis,drax,HIVE,2021-03-08,0.062
utopis,mapac,HIVE,2021-03-08,1.681
utopis,drax.leo,HIVE,2021-03-08,0.009
utopis,madstacks,HIVE,2021-03-08,2.283
utopis,maarnio,HIVE,2021-03-08,0.454
utopis,dudeontheweb,HIVE,2021-03-08,0.26
utopis,brofundholdings,HIVE,2021-03-08,175.257
utopis,eirik,HIVE,2021-03-08,4.852
utopis,enforcer48,HIVE,2021-03-08,1.499
utopis,knowhow92,HIVE,2021-03-08,9.851
utopis,jemmarti,HIVE,2021-03-08,0.909
utopis,flauwy,HIVE,2021-03-08,15.131
utopis,jeffjagoe,HIVE,2021-03-08,0.054
utopis,dagger212,HIVE,2021-03-08,4.544
utopis,jackofcrows,HIVE,2021-03-08,0.772
utopis,funnel,HIVE,2021-03-08,0.909
utopis,coyotelation,HIVE,2021-03-08,9.088
utopis,brettpullen,HIVE,2021-03-08,303.661
utopis,investyourvote,HIVE,2021-03-08,0.364
utopis,gadrian,HIVE,2021-03-08,0.682
utopis,jersteemit,HIVE,2021-03-08,0.682
utopis,cryptoandcoffee,HIVE,2021-03-08,1.73
utopis,investinthefutur,HIVE,2021-03-08,2.772
utopis,invest4free,HIVE,2021-03-08,0.159
utopis,imfarhad,HIVE,2021-03-08,0.409
utopis,gillianpearce,HIVE,2021-03-08,1.136
utopis,hykss,HIVE,2021-03-08,45.439
utopis,cwow2,HIVE,2021-03-08,10.739
utopis,honeysaver,HIVE,2021-03-08,2.499
utopis,anadolu,HIVE,2021-03-08,0.227
utopis,glastar,HIVE,2021-03-08,4.544
utopis,hive-id,HIVE,2021-03-08,0.059
utopis,anderssinho,HIVE,2021-03-08,0.045
utopis,athomewithcraig,HIVE,2021-03-08,0.15
utopis,failingforwards,HIVE,2021-03-08,0.492
utopis,evernoticethat,HIVE,2021-03-08,2.023
utopis,elbrava,HIVE,2021-03-08,0.241
utopis,kiokizz,HIVE,2021-03-08,0.454
utopis,kingneptune,HIVE,2021-03-08,2.726
utopis,elianaicgomes,HIVE,2021-03-08,0.454
utopis,chireerocks,HIVE,2021-03-08,7.689
utopis,khan.dayyanz,HIVE,2021-03-08,10.224
utopis,kaelci,HIVE,2021-03-08,4.544
utopis,jznsamuel,HIVE,2021-03-08,5.634
utopis,juecoree,HIVE,2021-03-08,0.227
utopis,juanvegetarian,HIVE,2021-03-08,0.454
utopis,jfang003,HIVE,2021-03-08,0.136
utopis,damla,HIVE,2021-03-08,0.454
utopis,enginewitty,HIVE,2021-03-08,11.36
utopis,ericburgoyne,HIVE,2021-03-08,0.682
utopis,jongolson,HIVE,2021-03-08,16.812
utopis,erikah,HIVE,2021-03-08,0.259
utopis,amr008,HIVE,2021-03-08,1.689
utopis,jmsansan.leo,HIVE,2021-03-08,0.045
utopis,jlsplatts,HIVE,2021-03-08,3.862
utopis,espandor,HIVE,2021-03-08,0.85
utopis,jjb777,HIVE,2021-03-08,38.863
utopis,cornavirus,HIVE,2021-03-08,2.545
utopis,juanmiguelsalas,HIVE,2021-03-08,2.363
utopis,kolbjorn,HIVE,2021-03-08,31.807
utopis,monsterbuster,HIVE,2021-03-08,0.136
utopis,starstrings01,HIVE,2021-03-08,0.747
utopis,shroomifer,HIVE,2021-03-08,4.544
utopis,revisesociology,HIVE,2021-03-08,4.771
utopis,abrockman,HIVE,2021-03-08,15.904
utopis,taskmaster4450,HIVE,2021-03-08,18.221
utopis,rahul.stan,HIVE,2021-03-08,0.916
utopis,tomhall,HIVE,2021-03-08,1.401
utopis,silverstackeruk,HIVE,2021-03-08,20.447
utopis,quinnertronics,HIVE,2021-03-08,0.047
utopis,bhattg,HIVE,2021-03-08,4.362
utopis,arrliinn,HIVE,2021-03-08,0.386
utopis,trayan,HIVE,2021-03-08,0.095
utopis,trumpikas,HIVE,2021-03-08,2.272
utopis,pixresteemer,HIVE,2021-03-08,5.089
utopis,bearbear613,HIVE,2021-03-08,19.311
utopis,pixiepost,HIVE,2021-03-08,0.091
utopis,simplegame,HIVE,2021-03-08,2.454
utopis,trumpman,HIVE,2021-03-08,13.109
utopis,pieternijmeijer,HIVE,2021-03-08,1.827
utopis,poetchick4jesus,HIVE,2021-03-08,0.01
utopis,tobetada,HIVE,2021-03-08,0.182
utopis,rickardoh,HIVE,2021-03-08,0.709
utopis,bitcoinflood,HIVE,2021-03-08,0.511
utopis,thegoliath,HIVE,2021-03-08,1.59
utopis,shebe,HIVE,2021-03-08,0.026
utopis,sevenoh-fiveoh,HIVE,2021-03-08,0.045
utopis,thelogicaldude,HIVE,2021-03-08,0.454
utopis,shmoogleosukami,HIVE,2021-03-08,0.652
utopis,scooter77,HIVE,2021-03-08,1.0
utopis,themarkymark,HIVE,2021-03-08,45.897
