from,to,symbol,quantity,date
spi-payments,c0ff33a,HIVE,0.102,2020-05-17
spi-payments,kerrislravenhill,HIVE,0.068,2020-05-17
spi-payments,elbrava,HIVE,0.046,2020-05-17
spi-payments,meaganx08,HIVE,1.192,2020-05-17
spi-payments,conradsuperb,HIVE,10.933,2020-05-17
spi-payments,roger5120,HIVE,15.713,2020-05-17
spi-payments,flemingfarm,HIVE,1.813,2020-05-17
spi-payments,jdkennedy,HIVE,0.303,2020-05-17
spi-payments,putu300,HIVE,0.024,2020-05-17
spi-payments,walterjay,HIVE,0.203,2020-05-17
spi-payments,ericburgoyne,HIVE,1.114,2020-05-17
spi-payments,geke,HIVE,0.825,2020-05-17
spi-payments,netaterra,HIVE,2.816,2020-05-17
spi-payments,rosatravels,HIVE,0.414,2020-05-17
spi-payments,mytechtrail,HIVE,0.769,2020-05-17
spi-payments,coolguy123,HIVE,0.022,2020-05-17
spi-payments,bobby.madagascar,HIVE,0.038,2020-05-17
spi-payments,gillianpearce,HIVE,0.538,2020-05-17
spi-payments,barbara-orenya,HIVE,0.201,2020-05-17
spi-payments,stayoutoftherz,HIVE,0.717,2020-05-17
spi-payments,themanwithnoname,HIVE,0.47,2020-05-17
spi-payments,nikkitoo,HIVE,0.042,2020-05-17
spi-payments,dfinney,HIVE,0.008,2020-05-17
spi-payments,javiersebastian,HIVE,0.021,2020-05-17
spi-payments,gattino,HIVE,0.818,2020-05-17
spi-payments,xyzashu,HIVE,0.603,2020-05-17
spi-payments,satoshibit,HIVE,0.02,2020-05-17
spi-payments,forykw,HIVE,0.01,2020-05-17
spi-payments,superlao,HIVE,0.102,2020-05-17
spi-payments,dera123,HIVE,3.585,2020-05-17
spi-payments,felander,HIVE,1.0,2020-05-17
spi-payments,bethvalverde,HIVE,0.063,2020-05-24
spi-payments,moeenali,HIVE,0.005,2020-05-24
spi-payments,kirstin,HIVE,0.019,2020-05-24
spi-payments,eii,HIVE,0.014,2020-05-24
spi-payments,znnuksfe,HIVE,0.704,2020-05-24
spi-payments,silvertop,HIVE,0.128,2020-05-24
spi-payments,elizabethbit,HIVE,0.101,2020-05-24
spi-payments,simonjay,HIVE,0.02,2020-05-24
spi-payments,coreyb,HIVE,0.02,2020-05-24
spi-payments,cottonlion,HIVE,0.02,2020-05-24
spi-payments,wapitielk,HIVE,0.011,2020-05-24
spi-payments,crosheille,HIVE,0.227,2020-05-24
spi-payments,invest2learn,HIVE,0.114,2020-05-24
spi-payments,barmbo,HIVE,0.028,2020-05-24
spi-payments,huntforsteem,HIVE,0.51,2020-05-24
spi-payments,whitelightxpress,HIVE,0.059,2020-05-24
spi-payments,hauptwerk,HIVE,0.103,2020-05-24
spi-payments,neoxian,HIVE,0.016,2020-05-24
spi-payments,leo.bank,HIVE,2.118,2020-05-24
spi-payments,dylanhobalart,HIVE,0.379,2020-05-24
spi-payments,shitsignals,HIVE,3.907,2020-05-24
spi-payments,chrisparis,HIVE,9.183,2020-05-24
spi-payments,no-advice,HIVE,0.436,2020-05-24
spi-payments,nobse,HIVE,0.206,2020-05-24
spi-payments,reefe,HIVE,0.28,2020-05-24
spi-payments,joetunex,HIVE,0.021,2020-05-24
spi-payments,dm312,HIVE,0.007,2020-05-24
spi-payments,weedermann,HIVE,0.015,2020-05-24
spi-payments,dianadora,HIVE,0.031,2020-05-24
spi-payments,cadawg,HIVE,0.01,2020-05-24
spi-payments,melinda010100,HIVE,0.345,2020-05-24
spi-payments,isdev,HIVE,0.021,2020-05-24
spi-payments,silveringots,HIVE,0.007,2020-05-24
spi-payments,jongolson,HIVE,0.019,2020-05-24
spi-payments,bitcoinflood,HIVE,0.015,2020-05-24
spi-payments,d00k13,HIVE,0.146,2020-05-24
spi-payments,golddeck,HIVE,0.025,2020-05-24
spi-payments,brickmanbrad,HIVE,0.01,2020-05-24
spi-payments,eturnerx,HIVE,0.113,2020-05-24
spi-payments,rambutan.art,HIVE,0.051,2020-05-24
spi-payments,spir-payments,HIVE,0.02,2020-05-24
spi-payments,sparkesy43,HIVE,0.165,2020-05-24
spi-payments,chekohler,HIVE,0.083,2020-05-24
spi-payments,libertycrypto27,HIVE,0.018,2020-05-24
spi-payments,forexbrokr,HIVE,1.064,2020-05-24
spi-payments,spi-contests,HIVE,6.059,2020-05-24
spi-payments,georgeknowsall,HIVE,0.005,2020-05-24
spi-payments,spi-steemcity,HIVE,0.007,2020-05-24
spi-payments,barton26,HIVE,0.006,2020-05-24
spi-payments,gerber,HIVE,0.467,2020-05-24
spi-payments,incubot,HIVE,0.097,2020-05-24
spi-payments,billybohner,HIVE,0.008,2020-05-24
spi-payments,moderndayhippie,HIVE,0.704,2020-05-24
spi-payments,axeman,HIVE,0.025,2020-05-24
spi-payments,bitandi,HIVE,0.018,2020-05-24
spi-payments,yorra,HIVE,0.007,2020-05-24
spi-payments,levi-miron,HIVE,0.014,2020-05-24
spi-payments,tomhall,HIVE,0.007,2020-05-24
spi-payments,monsterbuster,HIVE,0.017,2020-05-24
spi-payments,neumannsalva,HIVE,0.017,2020-05-24
spi-payments,taskmaster4450le,HIVE,0.135,2020-05-24
spi-payments,reverendrum,HIVE,0.006,2020-05-24
spi-payments,rehan.neox,HIVE,0.015,2020-05-24
spi-payments,steemcryptosicko,HIVE,0.083,2020-05-24
spi-payments,spi-payments,HIVE,0.479,2020-05-24
spi-payments,votebetting,HIVE,0.053,2020-05-24
spi-payments,quintaesencia,HIVE,0.007,2020-05-24
spi-payments,hetty-rowan,HIVE,0.015,2020-05-24
spi-payments,stevelivingston,HIVE,0.01,2020-05-24
spi-payments,silverd510,HIVE,0.215,2020-05-24
spi-payments,sumatranate,HIVE,0.375,2020-05-24
spi-payments,underground,HIVE,39.698,2020-05-24
spi-payments,partitura,HIVE,2.728,2020-05-24
spi-payments,jpphotography,HIVE,0.011,2020-05-24
spi-payments,russia-btc,HIVE,0.108,2020-05-24
spi-payments,theb0red1,HIVE,0.094,2020-05-24
spi-payments,jznsamuel,HIVE,0.209,2020-05-24
spi-payments,shanibeer,HIVE,18.772,2020-05-24
spi-payments,tapeworm16,HIVE,0.628,2020-05-24
spi-payments,tonyz,HIVE,0.108,2020-05-24
spi-payments,bucipuci,HIVE,0.18,2020-05-24
spi-payments,metzli,HIVE,0.938,2020-05-24
spi-payments,jk6276,HIVE,7.341,2020-05-24
spi-payments,sames,HIVE,0.112,2020-05-24
spi-payments,fat-elvis,HIVE,0.235,2020-05-24
spi-payments,taskmaster4450,HIVE,22.84,2020-05-24
spi-payments,dkid14,HIVE,0.059,2020-05-24
spi-payments,welshstacker,HIVE,0.427,2020-05-24
spi-payments,ange.nkuru,HIVE,0.072,2020-05-24
spi-payments,steembasicincome,HIVE,20.0,2020-05-24
spi-payments,erikklok,HIVE,0.429,2020-05-24
spi-payments,dwingsworld,HIVE,0.209,2020-05-24
spi-payments,silverstackeruk,HIVE,38.954,2020-05-24
spi-payments,tbnfl4sun,HIVE,1.267,2020-05-24
spi-payments,seareader1,HIVE,0.119,2020-05-24
spi-payments,oldmans,HIVE,0.599,2020-05-24
spi-payments,qam2112,HIVE,6.761,2020-05-24
spi-payments,methus,HIVE,1.438,2020-05-24
spi-payments,darkmrmystic,HIVE,0.026,2020-05-24
spi-payments,kiokizz,HIVE,0.033,2020-05-24
spi-payments,silversaver888,HIVE,0.423,2020-05-24
spi-payments,ronaldoavelino,HIVE,2.645,2020-05-24
spi-payments,jimbobbill,HIVE,0.01,2020-05-24
spi-payments,revisesociology,HIVE,0.041,2020-05-24
spi-payments,elfman2018,HIVE,0.076,2020-05-24
