from,to,symbol,quantity,date
brofund-arc,lilchillgirl,ARCHON,0.036,2021-05-31
brofund-arc,trumpikas,ARCHON,0.002,2021-05-31
brofund-arc,gerber,ARCHON,0.009,2021-05-31
brofund-arc,mfblack,ARCHON,0.192,2021-05-31
brofund-arc,leontr,ARCHON,0.001,2021-05-31
brofund-arc,themarkymark,ARCHON,0.673,2021-05-31
brofund-arc,no-advice,ARCHON,0.016,2021-05-31
brofund-arc,netaterra,ARCHON,0.086,2021-05-31
brofund-arc,atma.love,ARCHON,0.142,2021-05-31
brofund-arc,rarej,ARCHON,0.002,2021-05-31
brofund-arc,cornavirus,ARCHON,0.044,2021-05-31
brofund-arc,votebetting,ARCHON,0.031,2021-05-31
brofund-arc,cliffagreen,ARCHON,0.002,2021-05-31
brofund-arc,leo.bank,ARCHON,0.004,2021-05-31
brofund-arc,ifeoluwa88,ARCHON,0.003,2021-05-31
brofund-arc,akomoajong,ARCHON,0.003,2021-05-31
brofund-arc,neoxian,ARCHON,0.001,2021-05-31
brofund-arc,solairitas,ARCHON,0.006,2021-05-31
brofund-arc,ecoinstats,ARCHON,0.138,2021-05-31
brofund-arc,misterc,ARCHON,0.012,2021-05-31
brofund-arc,lotto-de,ARCHON,0.003,2021-05-31
brofund-arc,investyourvote,ARCHON,0.002,2021-05-31
brofund-arc,archon-mining,ARCHON,0.009,2021-05-31
brofund-arc,l337m45732,ARCHON,0.007,2021-05-31
brofund-arc,enforcer48,ARCHON,0.108,2021-05-31
brofund-arc,ash,ARCHON,0.054,2021-05-31
brofund-arc,jznsamuel,ARCHON,0.113,2021-05-31
brofund-arc,discohedge,ARCHON,0.217,2021-05-31
brofund-arc,saboin,ARCHON,0.013,2021-05-31
brofund-arc,steemychicken1,ARCHON,0.09,2021-05-31
brofund-arc,xabi,ARCHON,0.046,2021-05-31
brofund-arc,abrockman,ARCHON,0.09,2021-05-31
brofund-arc,mister-meeseeks,ARCHON,0.001,2021-05-31
brofund-arc,cmplxty,ARCHON,0.007,2021-05-31
brofund-arc,jongolson,ARCHON,0.075,2021-05-31
brofund-arc,guurry123,ARCHON,0.002,2021-05-31
brofund-arc,silverstackeruk,ARCHON,0.033,2021-05-31
brofund-arc,pixelfan,ARCHON,0.103,2021-05-31
brofund-arc,trumpman,ARCHON,0.091,2021-05-31
brofund-arc,invest4free,ARCHON,0.001,2021-05-31
brofund-arc,drrune,ARCHON,0.003,2021-05-31
brofund-arc,photobook,ARCHON,0.002,2021-05-31
brofund-arc,cryptoknight12,ARCHON,0.016,2021-05-31
brofund-arc,michealb,ARCHON,0.005,2021-05-31
brofund-arc,investinthefutur,ARCHON,0.009,2021-05-31
brofund-arc,berthold,ARCHON,0.007,2021-05-31
brofund-arc,auelitairene,ARCHON,0.001,2021-05-31
brofund-arc,glastar,ARCHON,0.004,2021-05-31
brofund-arc,elbrava,ARCHON,0.001,2021-05-31
brofund-arc,robmojo,ARCHON,0.001,2021-05-31
brofund-arc,chronocrypto,ARCHON,0.679,2021-05-31
brofund-arc,sidwrites,ARCHON,0.007,2021-05-31
brofund-arc,spinvest,ARCHON,0.271,2021-05-31
brofund-arc,agr8buzz,ARCHON,0.09,2021-05-31
brofund-arc,dera123,ARCHON,0.127,2021-05-31
brofund-arc,revisesociology,ARCHON,0.001,2021-05-31
brofund-arc,moonunit,ARCHON,0.019,2021-05-31
brofund-arc,miketr,ARCHON,0.012,2021-05-31
brofund-arc,flemingfarm,ARCHON,0.009,2021-05-31
brofund-arc,oldmans,ARCHON,0.001,2021-05-31
brofund-arc,jjb777,ARCHON,0.391,2021-05-31
brofund-arc,bearbear613,ARCHON,0.09,2021-05-31
brofund-arc,rehan12,ARCHON,0.005,2021-05-31
brofund-arc,hetty-rowan,ARCHON,0.047,2021-05-31
brofund-arc,taskmaster4450,ARCHON,0.214,2021-05-31
brofund-arc,ironshield,ARCHON,0.002,2021-05-31
brofund-arc,elamental,ARCHON,0.005,2021-05-31
brofund-arc,ecoinstant,ARCHON,0.207,2021-05-31
brofund-arc,khan.dayyanz,ARCHON,0.015,2021-05-31
brofund-arc,roleerob,ARCHON,0.183,2021-05-31
brofund-arc,raymondspeaks,ARCHON,0.036,2021-05-31
brofund-arc,coinmint,ARCHON,0.09,2021-05-31
brofund-arc,eirik,ARCHON,0.017,2021-05-31
brofund-arc,burlarj,ARCHON,0.002,2021-05-31
brofund-arc,justinparke,ARCHON,0.013,2021-05-31
brofund-arc,bala41288,ARCHON,0.042,2021-05-31
brofund-arc,simplifylife,ARCHON,0.027,2021-05-31
brofund-arc,xawi,ARCHON,0.022,2021-05-31
brofund-arc,simplymike,ARCHON,0.005,2021-05-31
brofund-arc,zaku,ARCHON,0.009,2021-05-31
brofund-arc,brofundholdings,ARCHON,2.663,2021-05-31
brofund-arc,blockchainyouth,ARCHON,0.001,2021-05-30
brofund-arc,jimmy.adames,ARCHON,0.002,2021-05-30
brofund-arc,efastromberg94,ARCHON,0.002,2021-05-30
brofund-arc,hive.pizza,ARCHON,0.002,2021-05-30
brofund-arc,thecryptopimp,ARCHON,0.004,2021-05-30
brofund-arc,newigennity,ARCHON,0.001,2021-05-30
brofund-arc,agmasz,ARCHON,0.003,2021-05-30
brofund-arc,shawnlauzon,ARCHON,0.005,2021-05-30
brofund-arc,focus.folks,ARCHON,0.001,2021-05-30
brofund-arc,wdougwatson,ARCHON,0.001,2021-05-30
brofund-arc,daveks,ARCHON,0.007,2021-05-30
brofund-arc,fronttowardenemy,ARCHON,0.002,2021-05-30
brofund-arc,erikah,ARCHON,0.001,2021-05-30
brofund-arc,azircon,ARCHON,0.074,2021-05-30
brofund-arc,bobby.madagascar,ARCHON,0.002,2021-05-30
brofund-arc,nobutsd1974,ARCHON,0.001,2021-05-30
brofund-arc,little-ricky,ARCHON,0.004,2021-05-30
brofund-arc,cranium,ARCHON,0.001,2021-05-30
brofund-arc,johannpiber,ARCHON,0.001,2021-05-30
brofund-arc,taintedblood,ARCHON,0.001,2021-05-30
brofund-arc,darrenclaxton,ARCHON,0.019,2021-05-30
brofund-arc,cryptoandcoffee,ARCHON,0.001,2021-05-30
brofund-arc,bhattg,ARCHON,0.001,2021-05-30
brofund-arc,kingneptune,ARCHON,0.005,2021-05-30
brofund-arc,fiberfrau,ARCHON,0.002,2021-05-30
brofund-arc,brofi,ARCHON,0.123,2021-05-30
brofund-arc,doctorcrypto,ARCHON,0.001,2021-05-30
brofund-arc,finguru,ARCHON,0.006,2021-05-30
brofund-arc,gadrian,ARCHON,0.001,2021-05-30
brofund-arc,dagger212,ARCHON,0.005,2021-05-30
brofund-arc,bitcoinflood,ARCHON,0.02,2021-05-30
brofund-arc,sinistry,ARCHON,0.001,2021-05-30
brofund-arc,enginewitty,ARCHON,0.022,2021-05-30
brofund-arc,taskmaster4450le,ARCHON,0.001,2021-05-30
brofund-arc,shepherd-stories,ARCHON,0.005,2021-05-30
brofund-arc,boycharliefamily,ARCHON,0.003,2021-05-30
brofund-arc,successchar,ARCHON,0.001,2021-05-30
brofund-arc,blainjones,ARCHON,0.01,2021-05-30
brofund-arc,roger.remix,ARCHON,0.001,2021-05-30
brofund-arc,ammonite,ARCHON,0.001,2021-05-30
brofund-arc,bidnat,ARCHON,0.007,2021-05-30
brofund-arc,doze,ARCHON,0.006,2021-05-30
brofund-arc,shrazi,ARCHON,0.003,2021-05-30
brofund-arc,shroomifer,ARCHON,0.003,2021-05-30
brofund-arc,walterjay,ARCHON,0.019,2021-05-30
brofund-arc,wxmark,ARCHON,0.012,2021-05-30
brofund-arc,hykss,ARCHON,0.067,2021-05-30
brofund-arc,melbourneswest,ARCHON,0.002,2021-05-30
brofund-arc,vipservice,ARCHON,0.019,2021-05-30
brofund-arc,edje,ARCHON,0.01,2021-05-30
brofund-arc,road2nowhere,ARCHON,0.001,2021-05-30
brofund-arc,dhedge-drips,ARCHON,0.006,2021-05-30
brofund-arc,abztraxxx,ARCHON,0.003,2021-05-30
brofund-arc,adamada,ARCHON,0.009,2021-05-30
brofund-arc,honeysaver,ARCHON,0.01,2021-05-30
brofund-arc,carolynstahl,ARCHON,0.001,2021-05-30
brofund-arc,plantstoplanks,ARCHON,0.001,2021-05-30
